date,Togo,Namibia,Burundi,Uruguay,Nigeria,Sudan,Somalia,Bangladesh,Ethiopia,Uganda,Rwanda,Botswana,Burkina Faso,Nepal
19900101,12.6,10.6,11.3,4.6,18.9,12.9,13.2,11.5,15.2,23.8,12.9,24.2,25,33.7
19910202,12.2,10.6,10.9,4.9,18.5,12.9,13.1,11.5,15.1,23.3,13,24,24.8,33
19920303,11.9,10.5,10.5,5.2,18,12.8,13,11.4,14.9,22.9,13.1,23.8,24.6,32.4
19930404,11.5,10.4,10.2,5.5,17.6,12.7,12.8,11.4,14.7,22.5,13.2,23.6,24.4,31.8
19940505,11.1,10.3,9.8,5.9,17.1,12.6,12.7,11.4,14.6,22,13.3,23.4,24.1,31.1
19950606,10.8,10.2,9.5,6.2,16.7,12.6,12.6,11.4,14.4,21.6,13.4,23.2,23.9,30.5
19960707,10.4,10.1,9.1,6.5,16.2,12.5,12.5,11.4,14.3,21.1,13.5,23,23.7,29.8
19970808,10,10,8.8,6.8,15.8,12.4,12.3,11.3,14.1,20.7,13.6,22.7,23.5,29.2
19980909,9.7,9.9,8.4,7.2,15.3,12.3,12.2,11.3,14,20.2,13.7,22.5,23.3,28.6
19991010,9.3,9.8,8.1,7.5,14.9,12.3,12.1,11.3,13.8,19.8,13.8,22.3,23.1,27.9
20001111,8.9,9.8,7.7,7.8,14.4,12.2,12,11.3,13.7,19.4,13.9,22.1,22.8,27.2
20011212,8.6,9.7,7.6,8,14,12.1,11.9,11.3,13.6,18.9,14.3,21.9,22.6,26.8
20020113,8.2,9.6,7.4,8.2,13.5,12.1,11.7,11.2,13.4,18.5,14.6,21.7,22.4,26.5
20030214,7.8,9.5,7.3,8.3,13.1,12,11.6,11.2,13.3,18,14.9,21.5,22.2,26.1
20040315,7.5,9.4,7.2,8.5,12.6,11.9,11.5,11.2,13.1,17.6,15.3,21.3,22,25.7
20050416,7.1,9.3,7,8.7,12.2,11.8,11.4,11.2,13,17.2,15.6,21.1,21.7,25.4
20060517,6.7,9.2,7.6,8.9,11.7,11.8,11.2,11.2,12.9,16.5,16.1,20.9,21.5,25.4
20070618,6.4,9.1,8.2,9.2,11.3,11.7,11.1,11.1,12.7,15.8,16.6,20.7,21.3,25.4
20080719,6,9,8.7,9.4,10.8,11.6,11,11.1,12.6,15.1,17.1,20.4,21.1,25.4
20090820,5.6,8.9,9.3,9.7,10.4,11.5,10.9,11.1,12.4,14.5,17.6,20.2,20.9,25.4
20100921,5.3,8.9,9.9,9.9,9.9,11.5,10.8,11.1,12.3,13.7,18.1,20,20.6,25.4
20111022,4.9,8.8,10,10,9.5,8.4,10.6,11.1,12.3,13.1,18.4,19.8,20.4,25.4
20121123,4.5,8.7,10.2,10.2,9,8.3,10.5,11,12.4,12.4,18.6,19.7,20.2,25.4
20131224,4.2,8.6,10.4,10.3,8.6,8.2,10.4,11,12.4,11.7,18.9,19.5,20,25.4
20140125,3.8,8.5,10.6,10.4,8.1,8.2,10.3,11,12.5,11,19.2,19.3,19.8,25.4
20150226,3.5,8.4,10.7,10.5,7.7,8.1,10.1,11,12.5,10.4,19.5,19.1,19.6,25.4
