year,United Kingdom,Australia,China,Belgium,India,France,Germany,United States,Canada,Russian Federation,Brazil,"Korea, Rep.",Japan
1990,11.5,16.7,16.7,0,21.5,26.4,32.4,33,38.3,49.4,65.4,66,68.4
1991,11.6,16.7,16.9,0,21.6,26.5,32.4,33,38.3,49.4,65.1,66,68.4
1992,11.6,16.7,17.2,0,21.6,26.7,32.4,33,38.3,49.4,64.8,65.9,68.4
1993,11.7,16.7,17.4,0,21.7,26.8,32.4,33.1,38.3,49.4,64.5,65.8,68.4
1994,11.8,16.7,17.6,0,21.7,27,32.4,33.1,38.3,49.4,64.2,65.7,68.3
1995,11.8,16.8,17.8,0,21.7,27.1,32.4,33.1,38.3,49.4,63.9,65.6,68.3
1996,11.9,16.8,18,0,21.8,27.3,32.5,33.1,38.3,49.4,63.6,65.5,68.3
1997,12,16.8,18.2,0,21.8,27.5,32.5,33.1,38.3,49.4,63.3,65.4,68.3
1998,12.1,16.8,18.4,0,21.9,27.6,32.5,33.1,38.3,49.4,63,65.4,68.3
1999,12.1,16.8,18.6,0,21.9,27.8,32.5,33.1,38.3,49.4,62.7,65.3,68.3
2000,12.2,16.8,18.9,22,22,27.9,32.5,33.1,38.2,49.4,62.4,65.2,68.2
2001,12.3,16.7,19.2,22.1,22.1,28.1,32.6,33.2,38.2,49.4,62,64.9,68.3
2002,12.3,16.7,19.5,22.1,22.3,28.3,32.6,33.2,38.2,49.4,61.7,64.8,68.3
2003,12.4,16.7,19.9,22.2,22.5,28.5,32.6,33.2,38.2,49.4,61.3,64.8,68.3
2004,12.4,16.6,20.2,22.2,22.6,28.8,32.6,33.2,38.2,49.4,61,64.7,68.4
2005,12.5,16.6,20.6,22.3,22.8,29,32.6,33.3,38.2,49.4,60.6,64.6,68.4
2006,12.5,16.5,20.7,22.3,22.9,29.2,32.7,33.3,38.2,49.5,60.4,64.5,68.4
2007,12.5,16.4,20.9,22.4,23.1,29.4,32.7,33.4,38.2,49.5,60.2,64.4,68.4
2008,12.6,16.3,21,22.4,23.2,29.6,32.7,33.6,38.2,49.6,60,64.3,68.5
2009,12.6,16.2,21.2,22.5,23.3,29.8,32.7,33.7,38.2,49.7,59.8,64.1,68.5
2010,12.6,16,21.4,22.5,23.5,30,32.7,33.7,38.2,49.8,59.6,64,68.5
2011,12.7,16.1,21.5,22.5,23.5,30.2,32.7,33.8,38.2,49.8,59.5,63.9,68.5
2012,12.8,16.1,21.7,22.5,23.6,30.4,32.7,33.8,38.2,49.8,59.4,63.8,68.5
2013,12.9,16.2,21.9,22.5,23.7,30.6,32.7,33.8,38.2,49.8,59.3,63.6,68.5
2014,12.9,16.2,22,22.6,23.7,30.8,32.7,33.9,38.2,49.8,59.2,63.5,68.5
2015,13,16.2,22.2,22.6,23.8,31,32.7,33.9,38.2,49.8,59,63.4,68.5
